DATE	TOURNAMENT NAME	FINISH POS	TO PAR SCORE	OFFICIAL MONEY	GIR	DRVG ACC	LONG DRV	DRV DIST	TOT DRV	SAND SV%	ALL- ARND RANK	BALL STKG	STROKES GAINED PUTTING	PAR 3	PAR 4	PAR 5	FRNT 9 AVG	BACK 9 AVG
04/11/2010	Masters Tournament	T4	-11	$330000.00	68.06%	66.07%	316	283.0	57	80.00%	1,315	53	--	+4	E	-15	35.00	34.25
05/02/2010	Wells Fargo Championship	CUT	+ 9	--	55.56%	21.43%	327	310.0	1,998	50.00%		1,998	-1.482	+2	+7	E	35.50	41.00
05/09/2010	THE PLAYERS Championship	W/D	-4	--	70.37%	54.76%	320	264.8	1,998	60.00%		1,998	0.247	+1	+1	-6	35.33	35.33
06/06/2010	the Memorial Tournament	T19	-6	$75300.00	65.28%	58.93%	330	278.0	88	50.00%	1,338	111	1.567	-1	+1	-6	35.50	35.00
06/20/2010	U.S. Open Championship	T4	+ 3	$303119.00	59.72%	69.64%	364	300.6	25	50.00%	1,324	13	--	-1	+6	-2	36.25	35.50
07/04/2010	AT&T National	T46	+ 4	$16580.57	62.50%	57.14%	366	324.8	45	50.00%	1,328	69	-0.980	+5	+1	-2	35.50	35.50
07/18/2010	British Open Championship	T23	-3	$64511.66	73.61%	73.44%	349	318.1	47	0.00%	1,348	67	--	+1	-3	-1	35.75	35.50
08/08/2010	WGC-Bridgestone Invit'l	T78	+18	$35875.00	48.61%	39.29%	352	302.6	104	27.27%	1,392	143	-1.672	+3	+12	+3	38.00	36.50
08/15/2010	PGA Championship	T28	-2	$46700.00	58.33%	37.50%	357	293.3	90	16.67%	1,394	126	--	E	-2	E	37.00	34.50
08/29/2010	The Barclays	T12	-7	$157500.00	72.22%	78.57%	316	268.3	57	33.33%	1,419	23	1.271	+2	-2	-7	35.25	34.00
09/06/2010	Deutsche Bank Champ	T11	-10	$148928.57	68.06%	57.14%	329	302.0	74	75.00%	1,338	61	0.459	E	-2	-8	34.00	34.50
09/12/2010	BMW Championship	T15	-1	$116250.00	63.89%	51.79%	356	303.4	67	46.67%	569	46	-0.332	+1	+5	-7	36.25	34.50
01/11/2009	Mercedes-Benz Champ	DNS		--									--					
03/01/2009	WGC-Accenture Match Play	T17		$95000.00									--	E	E	E		
03/15/2009	WGC-CA Championship	T9	-11	$142500.00	68.06%	60.71%	356	303.3	21	45.45%	1,415	13	-0.893	-1	-2	-8	34.75	34.50
03/17/2009	(*) Tavistock Cup			$50000.00									--	E	E	E		
03/29/2009	Arnold Palmer Invt'l	1	-5	$1080000.00	54.17%	60.71%	348	283.6	74	66.67%	1,411	87	1.874	-1	-4	E	35.00	33.75
04/12/2009	Masters Tournament	T6	-8	$242813.00	72.22%	64.29%	322	280.5	60	33.33%	1,331	46	--	-1	+4	-11	35.25	34.75
05/03/2009	Quail Hollow Championship	4	-9	$312000.00	63.89%	44.64%	345	306.5	60	83.33%	1,318	71	1.076	+2	-2	-9	34.00	35.75
05/10/2009	THE PLAYERS Championship	8	-5	$294500.00	61.11%	53.57%	324	288.4	93	50.00%	463	97	0.836	+2	+1	-8	36.25	34.50
06/07/2009	the Memorial Tournament	1	-12	$1080000.00	73.61%	87.50%	329	298.4	14	33.33%	316	5	0.550	+2	-3	-11	34.50	34.50
06/21/2009	U.S. Open Championship	T6	E	$233350.00	66.67%	67.86%	313	290.4	30	40.00%	318	16	--	-2	+6	-4	34.75	35.25
07/05/2009	AT&T National	1	-13	$1080000.00	76.39%	73.21%	366	312.4	11	50.00%	247	5	1.887	-5	-1	-7	32.75	34.00
07/19/2009	British Open Championship	CUT	+ 5	--	58.33%	53.57%	328	283.5	1,998	50.00%		1,998	--	E	+8	-3	35.00	37.50
08/02/2009	Buick Open	1	-20	$918000.00	79.17%	53.57%	355	303.9	55	72.73%	245	22	1.071	-3	-7	-10	34.25	32.75
08/09/2009	WGC-Bridgestone Invit'l	1	-12	$1400000.00	70.83%	51.79%	370	312.6	65	100.00%	229	25	1.322	-4	-2	-6	33.50	33.50
08/16/2009	PGA Championship	2	-5	$810000.00	72.22%	71.43%	356	313.1	8	80.00%	178	4	--	+4	-3	-6	35.50	35.25
08/30/2009	The Barclays	T2	-8	$495000.00	66.67%	76.79%	320	290.3	32	62.50%	189	9	0.634	-1	-3	-4	34.75	34.25
09/07/2009	Deutsche Bank Champ	T11	-12	$165000.00	69.44%	71.43%	325	295.0	60	50.00%	189	47	0.596	+1	-6	-7	34.75	33.25
09/13/2009	BMW Championship	1	-19	$1350000.00	69.44%	73.21%	340	306.4	22	100.00%	116	5	1.506	-2	-7	-10	33.00	33.25
09/27/2009	THE TOUR Championship	2	-6	$810000.00	68.06%	58.93%	338	298.3	22	66.67%	126	10	0.029	E	E	-6	34.75	33.75
