DATE	TOURNAMENT NAME	FINISH POS	TO PAR SCORE	OFFICIAL MONEY	GIR	DRVG ACC	LONG DRV	DRV DIST	TOT DRV	SAND SV%	ALL- ARND RANK	BALL STKG	STROKES GAINED PUTTING	PAR 3	PAR 4	PAR 5	FRNT 9 AVG	BACK 9 AVG
09/18/2011	BMW Championship	T22	E	$68444.45	65.28%	60.71%	322	301.5	56	50.00%	457	37	-0.812	+5	+1	-6	36.50	34.50
09/25/2011	TOUR Championship	T3	-7	$418666.66	62.50%	44.64%	351	303.1	32	62.50%	416	44	1.591	+4	-6	-5	33.25	35.00
01/31/2010	Farmers Insurance Open	CUT	E	--	61.11%	35.71%	305	279.5	1,998	0.00%		1,998	2.828	-1	+2	-1	37.00	35.00
02/07/2010	Northern Trust Open	T54	+ 1	$14464.00	51.39%	44.64%	326	284.0	75	42.86%	1,020	109	0.318	+3	+3	-5	34.75	36.50
02/14/2010	AT&T Pebble Beach	CUT	+ 2	--	64.81%	75.61%	297	283.5	1,998	16.67%		1,998	-0.146	+2	+3	-3	35.33	36.67
02/28/2010	Waste Management Phoenix	T74	+ 2	$11340.00	54.17%	57.14%	354	297.4	85	77.78%	1,034	128	0.305	+1	+6	-5	35.75	35.75
03/21/2010	Transitions Championship	T82	+ 6	$9396.00	59.26%	61.54%	322	288.5	1,998	75.00%		1,998	0.485	+1	+3	+2	36.67	36.33
04/04/2010	Shell Houston Open	T50	+ 1	$13989.60	50.00%	58.93%	348	315.6	41	66.67%	858	77	0.681	+2	+7	-8	35.75	36.50
04/18/2010	Verizon Heritage	T22	-5	$47595.00	61.11%	57.14%	331	265.8	126	60.00%	765	88	1.079	E	-1	-4	35.00	34.75
04/25/2010	Zurich Classic of New Orl	T28	-6	$39893.33	70.83%	55.36%	356	297.5	78	75.00%	688	66	-0.066	+3	-4	-5	35.75	34.75
05/02/2010	Wells Fargo Championship	T51	+ 3	$15296.67	62.50%	41.07%	351	313.0	71	66.67%	658	91	-0.773	+7	+3	-7	36.50	36.25
05/09/2010	THE PLAYERS Championship	CUT	+ 7	--	55.56%	35.71%	330	303.0	1,998	66.67%		1,998	0.110	+5	E	+2	36.00	39.50
05/16/2010	Valero Texas Open	T3	-12	$317200.00	65.28%	57.14%	358	310.5	27	46.15%	616	26	1.744	-3	-4	-5	34.25	34.75
06/06/2010	the Memorial Tournament	T47	E	$15864.00	58.33%	64.29%	317	278.0	83	50.00%	637	121	0.288	E	+5	-5	35.00	37.00
06/20/2010	U.S. Open Championship	CUT	+15	--	52.78%	67.86%	328	302.0	1,998	50.00%		1,998	--	+3	+6	+6	36.00	42.50
06/27/2010	Travelers Championship	T27	-8	$40800.00	69.44%	69.64%	344	313.3	48		623	50	0.907	-1	-2	-5	34.50	33.50
07/04/2010	AT&T National	T16	-1	$81426.67	69.44%	46.43%	357	316.5	73	27.27%	615	57	0.701	+2	+1	-4	34.75	35.00
07/11/2010	John Deere Classic	T39	-9	$15857.60	75.00%	58.93%	348	308.0	78	50.00%	594	74	0.708	-2	-2	-5	33.75	35.00
07/25/2010	RBC Canadian Open	T54	-3	$11628.00	70.83%	51.92%	356	299.9	81	50.00%	624	79	0.446	E	+1	-4	33.75	35.50
08/01/2010	The Greenbrier Classic	T36	-11	$25833.33	76.39%	60.71%	345	313.0	83	66.67%	585	113	0.920	-2	-8	-1	32.75	34.50
08/22/2010	Wyndham Championship	T53	-9	$11433.27	77.78%	62.50%	328	306.0	55	0.00%	563	54	0.665	E	-7	-2	33.00	34.75
08/29/2010	The Barclays	T56	+ 1	$16875.00	63.89%	55.36%	324	288.5	65	33.33%	581	75	-0.647	+2	+3	-4	35.25	36.00
09/06/2010	Deutsche Bank Champ	69	+ 3	$15150.00	55.56%	46.43%	346	298.6	83	50.00%	595	113	-0.342	E	+5	-2	37.50	34.25
10/03/2010	Viking Classic	CUT	+ 4	--	63.89%	46.43%	343	319.3	1,998	33.33%		1,998	1.244	+3	+2	-1	37.00	37.00
10/10/2010	The McGladrey Classic	T64	-1	$8440.00	81.94%	73.21%	328	298.1	29	75.00%	581	10	0.102	-1	+3	-3	34.75	35.00
10/17/2010	Frys.com Open	T30	-4	$32500.00	62.50%	55.36%	341	285.6	91	87.50%	567	128	0.756	+3	-2	-5	35.00	35.00
10/24/2010	Justin Timberlake	T8	-18	$124700.00	69.44%	62.50%	336	314.0	42	62.50%	508	77	1.526	+1	-9	-10	33.50	33.00
11/14/2010	Children's Miracle-Disney	T65	-2	$9635.00	62.50%	57.14%	321	291.1	86	62.50%	542	121	0.080	+4	+1	-7	36.50	35.00
02/01/2009	FBR Open	T35	-4	$28328.57	58.33%	46.43%	351	292.8	111	70.00%	513	125	0.673	E	+1	-5	36.00	34.00
02/08/2009	Buick Invitational	T11	-4	$108650.00	54.17%	35.71%	308	276.3	112	42.86%	503	137	0.317	E	+3	-7	34.50	36.50
02/22/2009	Northern Trust Open	T51	-3	$14826.00	51.39%	42.86%	324	282.8	120	44.44%	595	146	1.557	+3	+2	-8	33.25	37.00
03/01/2009	WGC-Accenture Match Play	T33		$45000.00									--	E	E	E		
03/15/2009	WGC-CA Championship	DQ	+ 3	--	44.44%	35.71%	300	285.5	1,998		1,644	1,998	-1.845	+1	+1	+1	37.00	38.00
03/29/2009	Arnold Palmer Invt'l	T66	+13	$12300.00	52.78%	55.36%	304	269.8	131	41.67%	778	126	0.246	+5	+8	E	37.00	36.25
04/05/2009	Shell Houston Open	CUT	+ 3	--	58.33%	42.86%	324	283.0	1,998	50.00%		1,998	1.009	+2	-2	+3	37.50	36.00
04/12/2009	Masters Tournament	T17	-4	$116250.00	61.11%	67.86%	293	275.0	70	50.00%	729	82	--	+2	-1	-5	35.50	35.50
04/19/2009	Verizon Heritage	T21	-4	$59280.00	63.89%	58.93%	305	276.0	93	62.50%	698	70	0.599	E	-1	-3	34.50	35.50
05/03/2009	Quail Hollow Championship	CUT	+ 5	--	58.33%	35.71%	311	284.0	1,998	40.00%		1,998	0.094	E	+9	-4	36.50	38.00
05/10/2009	THE PLAYERS Championship	T9	-4	$237500.00	63.89%	57.14%	316	292.5	76	50.00%	684	67	1.536	E	+1	-5	36.50	34.50
06/07/2009	the Memorial Tournament	CUT	+ 9	--	44.44%	71.43%	325	287.0	1,998	50.00%		1,998	-1.321	+3	+11	-5	35.50	41.00
06/14/2009	St. Jude Classic	CUT	+ 7	--	47.22%	53.57%	320	293.5	1,998	100.00%		1,998	-1.851	+4	+3	E	37.00	36.50
06/28/2009	Travelers Championship	T77	+ 3	$10980.00	70.37%	61.90%	305	288.7	1,998	33.33%		1,998	-0.622	-2	+4	+1	34.33	36.67
07/05/2009	AT&T National	T25	-1	$45800.00	66.67%	51.79%	341	303.4	88	54.55%	778	89	1.587	+1	+4	-6	33.75	36.00
07/12/2009	John Deere Classic	T9	-14	$103200.00	70.83%	71.43%	333	291.9	72	75.00%	681	74	1.796	-3	-1	-10	33.25	34.25
07/26/2009	RBC Canadian Open	W/D	+ 4	--	33.33%	71.43%	317	292.5	1,998	50.00%		1,998	-0.264	+1	+3	E	36.00	40.00
08/09/2009	Legends Reno-Tahoe Open	CUT	+ 3	--	55.56%	75.00%	353	327.8	1,998	60.00%		1,998	-0.904	E	+2	+1	37.00	36.50
08/16/2009	PGA Championship	CUT	+ 5	--	50.00%	53.57%	320	297.8	1,998	57.14%		1,998	--	+3	+3	-1	38.00	36.50
08/30/2009	The Barclays	CUT	+ 8	--	52.78%	60.71%	341	262.0	1,998	0.00%	1,809	1,998	-0.117	-1	+5	+4	38.50	36.50
10/04/2009	Turning Stone Champ.	T29	-9	$38150.00	73.61%	78.57%	324	283.8	34	0.00%	742	46	0.403	-2	+4	-11	35.00	34.75
10/18/2009	Justin Timberlake	T38	-11	$16800.00	61.11%	58.93%	347	305.3	99	50.00%	721	135	2.266	+3	-8	-6	33.25	35.00
10/25/2009	Frys.com Open	CUT	+ 2	--	69.44%	46.43%	320	298.0	1,998	25.00%		1,998	0.715	+3	+2	-3	36.00	35.00
