DATE	TOURNAMENT NAME	FINISH POS	TO PAR SCORE	OFFICIAL MONEY	GIR	DRVG ACC	LONG DRV	DRV DIST	TOT DRV	SAND SV%	ALL- ARND RANK	BALL STKG	STROKES GAINED PUTTING	PAR 3	PAR 4	PAR 5	FRNT 9 AVG	BACK 9 AVG
04/08/2012	Masters Tournament	T17	-1	$124000.00	68.06%	75.00%	294	284.9	38	71.43%	248	20	--	+2	+2	-5	37.00	34.75
04/29/2012	Zurich Classic of New Orl	CUT	+ 4	--	69.44%	60.71%	324	289.8	1,998	0.00%		1,998	-0.368	+1	+5	-2	36.00	38.00
05/06/2012	Wells Fargo Championship	T21	-7	$67600.00	62.50%	53.57%	341	293.8	52	66.67%	262	83	0.948	+4	-2	-9	34.25	36.00
05/13/2012	THE PLAYERS Championship	CUT	+ 1	--	61.11%	50.00%	314	281.5	1,998	40.00%		1,998	-0.764	+1	+2	-2	35.50	37.00
05/27/2012	Crowne Plaza Invitational	T10	-3	$160000.00	70.83%	62.50%	330	300.1	37	50.00%	245	13	-0.055	+2	-1	-4	34.75	34.50
06/03/2012	the Memorial Tournament	69	+13	$12524.00	58.33%	76.79%	320	278.5	48	44.44%	292	58	-1.208	+10	+7	-4	37.00	38.25
06/17/2012	U.S. Open	CUT	+10	--	58.33%	42.86%	290	274.5	1,998	83.33%		1,998	--	+4	+6	E	36.50	38.50
07/01/2012	AT&T National	T22	+ 2	$58592.86	70.83%	71.43%	340	299.4	35	0.00%	302	11	0.780	+4	+1	-3	35.25	36.25
07/15/2012	John Deere Classic	T13	-13	$81266.67	69.44%	67.86%	342	296.3	90	54.55%	274	112	-0.060	-3	-4	-6	34.50	33.25
08/05/2012	WGC-Bridgestone Invit'l	W/D	+ 1	--	63.89%	39.29%	375	325.0	1,998	50.00%		1,998	-0.549	E	+3	-2	36.00	34.50
08/26/2012	The Barclays	CUT	+ 2	--	44.44%	57.14%	322	282.0	1,998	80.00%	1,275	1,998	2.993	E	+4	-2	36.00	36.00
09/03/2012	Deutsche Bank Champ	CUT	+ 3	--	47.22%	82.14%	323	285.5	1,998	75.00%	1,276	1,998	0.170	E	+1	+2	35.50	37.00
09/09/2012	BMW Championship	T41	-4	$30400.00	56.94%	71.43%	320	277.0	88	0.00%	353	120	1.373	-1	+5	-8	34.50	36.50
10/21/2012	The McGladrey Classic	T27	-7	$22550.00	72.22%	80.36%	315	281.3	55	80.00%	331	74	0.342	-3	-1	-3	33.50	34.75
01/09/2011	Hyundai T of C	T21	-9	$71000.00	87.50%	86.67%	334	266.3	32	100.00%	115	24	-0.672	E	-9	E	35.25	35.50
01/30/2011	Farmers Insurance Open	T14	-7	$104400.00	61.11%	58.93%	322	282.4	60	27.27%	560	75	0.631	+3	-2	-8	34.75	35.50
02/06/2011	Waste Management Phoenix	T18	-12	$82350.00	75.00%	57.14%	314	296.3	100	100.00%	398	70	1.292	-1	-7	-4	33.25	34.75
02/27/2011	WGC-Accenture Match Play	T9		$140000.00									--	E	E	E		
03/13/2011	WGC-Cadillac Championship	DNS		--									--					
04/03/2011	Shell Houston Open	T24	-7	$47790.00	70.83%	64.29%	332	291.3	72	40.00%	329	79	-0.244	+3	-1	-9	34.50	35.75
04/10/2011	Masters Tournament	CUT	+ 4	--	69.44%	85.71%	276	269.8	1,998	0.00%		1,998	--	+3	+3	-2	36.50	37.50
04/24/2011	The Heritage	T6	-8	$190950.00	58.33%	76.79%	307	277.3	41	40.00%	332	55	0.650	+1	-3	-6	35.00	34.00
05/01/2011	Zurich Classic of New Orl	T20	-6	$69333.34	68.06%	60.71%	324	284.6	105	0.00%	401	91	0.773	+3	-8	-1	33.75	36.75
05/15/2011	THE PLAYERS Championship	T45	-2	$27816.00	63.89%	71.43%	309	281.5	49	50.00%	385	59	0.989	E	E	-2	35.75	35.75
05/22/2011	Crowne Plaza Invitational	CUT	+10	--	55.56%	53.57%	326	293.3	1,998	33.33%		1,998	-3.442	+2	+8	E	37.50	37.50
05/29/2011	HP Byron Nelson Champ	T63	+12	$13780.00	51.39%	55.36%	349	294.4	71	66.67%	599	95	-0.428	E	+11	+1	35.50	37.50
06/12/2011	FedEx St. Jude Classic	T73	+ 5	$10472.00	62.96%	73.81%	338	303.8	1,998	25.00%		1,998	-0.742	E	+6	-1	35.67	36.00
06/19/2011	U.S. Open	CUT	+ 6	--	52.78%	67.86%	300	283.3	1,998	60.00%		1,998	--	+2	+1	+3	37.50	36.50
06/26/2011	Travelers Championship	T59	-5	$13260.00	68.06%	76.79%	298	267.0	94	20.00%	700	115	0.451	E	-1	-4	35.75	33.00
07/17/2011	British Open Championship	CUT	+ 4	--	55.56%	57.14%	315	301.8	1,998	75.00%		1,998	--	+1	+6	-3	36.50	35.50
07/24/2011	RBC Canadian Open	T29	+ 4	$37700.00	51.39%	71.43%	306	266.3	77	50.00%	738	104	0.393	-1	+7	-2	35.50	35.50
08/14/2011	PGA Championship	T37	+ 3	$36250.00	66.67%	51.79%	298	286.9	105	50.00%	696	96	--	+3	E	E	34.75	36.00
08/21/2011	Wyndham Championship	CUT	-2	--	75.00%	67.86%	308	289.8	1,998	66.67%		1,998	0.094	-2	+4	-4	33.00	36.00
08/28/2011	The Barclays	CUT	-3	--	80.56%	71.43%	322	290.8	1,998	100.00%	1,613	1,998	0.795	E	-1	-2	35.50	34.00
09/05/2011	Deutsche Bank Champ	T61	+ 1	$16960.00	59.72%	73.21%	304	276.5	85	0.00%	715	110	0.288	+3	+3	-5	35.50	35.75
10/02/2011	Justin Timberlake	T10	-16	$97533.34	76.39%	67.86%	347	313.3	28	33.33%	602	37	-1.385	-1	-9	-6	33.00	34.00
10/09/2011	Frys.com Open	CUT	+ 5	--	69.44%	57.14%	330	272.0	1,998	25.00%		1,998	-1.555	+4	+2	-1	37.00	36.50
10/16/2011	The McGladrey Classic	1	-15	$720000.00	76.39%	64.29%	318	288.0	79		580	78	2.023	-1	-12	-2	33.50	32.75
01/24/2010	Bob Hope Classic	T52	-14	$11660.00	81.11%	73.53%	325	272.8	86	42.86%	497	55	-2.232	-1	-6	-7	35.00	34.20
01/31/2010	Farmers Insurance Open	1	-13	$954000.00	87.50%	67.86%	296	272.5	59	66.67%	439	21	0.015	-3	-5	-5	35.00	33.75
02/07/2010	Northern Trust Open	W/D	+ 2	--	61.11%	57.14%	300	242.0	1,998	0.00%		1,998	-1.336	+1	+2	-1	35.00	38.00
02/21/2010	WGC-Accenture Match Play	T9		$140000.00									--	E	E	E		
02/28/2010	Waste Management Phoenix	T36	-8	$27042.85	52.78%	64.29%	322	289.0	92	40.00%	504	138	1.465	-1	-9	+2	33.25	35.75
03/14/2010	WGC-CA Championship	T37	-2	$62500.00	62.50%	55.36%	331	283.3	81	66.67%	472	81	1.177	+1	+2	-5	36.75	34.75
03/28/2010	Arnold Palmer Invt'l	T25	+ 1	$46800.00	65.28%	82.14%	326	276.9	57	30.77%	441	46	-0.255	+1	+5	-5	35.00	37.25
04/04/2010	Shell Houston Open	T25	-4	$44273.34	72.22%	69.64%	311	282.4	70	50.00%	439	60	0.178	+1	-3	-2	34.75	36.25
04/11/2010	Masters Tournament	T24	E	$69000.00	63.89%	85.71%	292	277.6	38	66.67%	398	40	--	E	+3	-3	35.50	36.50
04/25/2010	Zurich Classic of New Orl	CUT	E	--	72.22%	71.43%	314	283.5	1,998			1,998	-0.206	E	-1	+1	36.00	36.00
05/09/2010	THE PLAYERS Championship	T4	-12	$358150.00	73.61%	73.21%	312	281.6	54	100.00%	321	31	1.187	-1	-2	-9	35.25	33.75
05/23/2010	HP Byron Nelson Champ	T7	-6	$189150.00	66.67%	53.57%	331	282.3	86	66.67%	307	79	1.008	-1	E	-5	34.50	34.00
05/30/2010	Crowne Plaza Invitational	T3	-17	$359600.00	66.67%	69.64%	309	287.9	67	64.29%	186	85	0.803	E	-11	-6	32.75	33.00
06/13/2010	St. Jude Classic	T12	-5	$117600.00	56.94%	71.43%	346	289.5	64	57.14%	190	76	1.548	+3	-5	-3	34.00	34.75
06/20/2010	U.S. Open Championship	CUT	+10	--	66.67%	67.86%	309	281.3	1,998	50.00%		1,998	--	+5	+7	-2	36.00	40.00
07/04/2010	AT&T National	T46	+ 4	$16580.57	65.28%	71.43%	325	286.1	67	25.00%	217	74	0.433	+6	+3	-5	35.25	35.75
07/18/2010	British Open Championship	CUT	+ 4	--	66.67%	81.25%	328	289.5	1,998			1,998	--	+3	+4	-3	34.00	40.00
08/01/2010	The Greenbrier Classic	T21	-12	$47460.00	80.56%	76.79%	321	298.1	70	33.33%	212	67	-0.116	+1	-7	-6	32.75	34.25
08/08/2010	WGC-Bridgestone Invit'l	T58	+ 6	$44000.00	65.28%	67.86%	340	285.6	73	66.67%	246	50	-0.808	+2	+6	-2	35.75	35.75
08/15/2010	PGA Championship	T39	E	$25933.34	69.44%	87.50%	303	279.4	56	28.57%	253	32	--	+3	+2	-5	36.00	36.00
08/29/2010	The Barclays	T12	-7	$157500.00	69.44%	73.21%	307	267.5	64	33.33%	260	45	-0.256	-2	-2	-3	34.00	35.25
09/06/2010	Deutsche Bank Champ	CUT	E	--	66.67%	75.00%	305	276.8	1,998	60.00%	1,206	1,998	-0.940	+1	+2	-3	37.50	33.50
09/12/2010	BMW Championship	T45	+ 5	$23250.00	63.89%	75.00%	324	284.1	64	50.00%	274	44	-0.349	+4	+4	-3	35.75	36.50
09/26/2010	THE TOUR Championship	T17	+ 2	$147000.00	63.89%	58.93%	347	297.3	19	63.16%	233	25	0.402	-1	+7	-4	35.25	35.25
01/25/2009	The 50th Bob Hope Classic	T54	-19	$11679.00	68.89%	77.94%	310	288.9	69	80.00%	349	98	0.342	-3	-2	-14	34.40	33.80
02/01/2009	FBR Open	CUT	+ 1	--	69.44%	50.00%	343	307.3	1,998	0.00%		1,998	-1.066	E	+2	-1	35.00	36.50
02/08/2009	Buick Invitational	T7	-5	$159662.50	77.78%	71.43%	311	274.6	49	28.57%	446	15	0.541	+5	-7	-3	34.25	36.50
02/22/2009	Northern Trust Open	W/D	+ 1	--	62.96%	66.67%	324	282.0	1,998	66.67%		1,998	-0.738	-2	+4	-1	35.00	36.33
03/08/2009	The Honda Classic	3	-6	$380800.00	63.89%	71.43%	337	286.3	49	80.00%	259	50	1.425	-1	-2	-3	33.25	35.25
03/22/2009	Transitions Championship	T63	+ 7	$11340.00	56.94%	82.69%	318	271.6	59	28.57%	377	83	0.065	+8	+3	-4	37.25	35.50
03/29/2009	Arnold Palmer Invt'l	T11	+ 1	$123000.00	55.56%	67.86%	347	274.3	79	75.00%	355	87	1.388	+1	E	E	35.25	35.00
04/05/2009	Shell Houston Open	CUT	E	--	69.44%	64.29%	316	299.0	1,998	75.00%		1,998	1.277	-1	+1	E	38.00	34.00
04/19/2009	Verizon Heritage	T26	-3	$43035.00	66.67%	66.07%	302	269.5	103	57.14%	356	69	0.093	+1	+1	-5	35.00	35.25
04/26/2009	Zurich Classic of New Orl	CUT	+ 1	--	66.67%	67.86%	320	308.8	1,998	0.00%		1,998	-0.893	+1	+4	-4	35.00	37.50
05/03/2009	Quail Hollow Championship	CUT	+ 1	--	61.11%	53.57%	318	290.3	1,998	66.67%		1,998	0.853	+1	+1	-1	34.50	38.00
05/10/2009	THE PLAYERS Championship	T5	-6	$346750.00	62.50%	62.50%	317	291.3	62	50.00%	298	59	1.779	+4	-2	-8	34.75	35.75
05/24/2009	HP Byron Nelson Champ	T45	-4	$18218.58	68.06%	58.93%	333	297.4	66	55.56%	329	68	0.088	+5	-5	-4	34.50	34.50
05/31/2009	Crowne Plaza Invitational	T46	-4	$16337.00	68.06%	62.50%	327	287.9	74	68.75%	348	75	0.572	+1	E	-5	34.50	34.50
06/14/2009	St. Jude Classic	T14	-7	$95200.00	65.28%	69.64%	308	290.8	46	83.33%	305	42	0.189	-1	-2	-4	33.75	34.50
06/21/2009	U.S. Open Championship	CUT	+11	--	44.44%	60.71%	279	258.8	1,998	66.67%		1,998	--	E	+10	+1	36.00	39.50
06/28/2009	Travelers Championship	W/D	+ 1	--	66.67%	50.00%	298	277.0	1,998	0.00%		1,998	-0.282	+1	E	E	34.00	37.00
07/19/2009	British Open Championship	CUT	+ 6	--	61.11%	53.57%	354	290.5	1,998	40.00%		1,998	--	+5	+4	-3	37.00	36.00
08/02/2009	Buick Open	T6	-15	$177225.00	72.22%	48.21%	327	306.6	64	60.00%	362	62	1.158	-2	-2	-11	35.75	32.50
08/16/2009	PGA Championship	T43	+ 6	$21112.50	54.17%	67.86%	318	283.9	73	30.00%	404	98	--	+9	+3	-6	38.50	35.00
08/30/2009	The Barclays	T41	+ 2	$27750.00	55.56%	76.79%	310	261.0	88	33.33%	474	108	-0.972	+2	+2	-2	36.25	35.25
09/07/2009	Deutsche Bank Champ	T69	+ 4	$15000.00	58.33%	80.36%	314	287.3	59	60.00%	488	93	-0.222	+2	+3	-1	35.50	36.50
09/13/2009	BMW Championship	T45	+ 4	$22575.00	52.78%	75.00%	337	271.9	73	66.67%	510	107	-0.009	E	+6	-2	36.75	35.25
10/04/2009	Turning Stone Champ.	T35	-8	$28328.57	72.22%	80.36%	285	260.8	80	66.67%	485	97	0.946	-2	-2	-4	35.50	34.50
10/18/2009	Justin Timberlake	T19	-14	$50904.00	79.17%	64.29%	325	309.5	72	60.00%	413	50	0.542	+1	-10	-5	33.50	34.00
10/25/2009	Frys.com Open	T13	-12	$78100.00	72.22%	78.57%	330	292.3	43	33.33%	384	50	0.495	E	-8	-4	33.25	33.75
11/15/2009	Children's Miracle-Disney	T24	-10	$40067.50	70.83%	57.14%	318	289.4	82	28.57%	364	90	1.276	-4	E	-6	35.75	33.75
